,room_id,survey_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,last_modified,latitude,longitude
45,6419174,1476,7689979,Entire home/apt,Amsterdam,Centrum West,25,4.5,3,1,186,JORDAAN - cozy 2 room apartment,2017-07-23 12:01:28.074061,52.374855,4.87805
46,17682178,1476,42934313,Entire home/apt,Amsterdam,Bijlmer Centrum,8,4.5,3,0,156,"Private studio, 20 minutes away from city center",2017-07-23 11:55:02.321846,52.319091,4.9532739999999995
47,14060573,1476,82283309,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,2,0.0,4,4,179,GORGEOUS family house with sunny garden!,2017-07-23 11:53:00.056659,52.346421,5.008598
48,19992596,1476,62831267,Entire home/apt,Amsterdam,Bijlmer Oost,0,0.0,4,3,174,3 bedroom apartment and free parking in the area,2017-07-23 11:52:34.764723,52.317621,4.9733089999999995
49,19845595,1476,7601328,Entire home/apt,Amsterdam,Oud Oost,0,0.0,4,2,132,"Lovely apartment with garden, close to the centre",2017-07-23 11:40:49.947253,52.355498,4.910895
50,5683725,1476,29468440,Entire home/apt,Amsterdam,Bijlmer Centrum,17,4.5,4,2,108,Nice & spacious apartment,2017-07-23 11:40:10.707836,52.317343,4.944083
51,9816925,1476,48703385,Entire home/apt,Amsterdam,Centrum Oost,21,4.0,4,2,541,Two Floor City Centre Canal House,2017-07-23 11:36:52.628550,52.364932,4.885259
52,3908795,1476,20246324,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,11,5.0,6,4,594,Gorgeous House near Vondelpark area,2017-07-23 11:36:50.397922,52.354616,4.852802
53,11998169,1476,1878355,Entire home/apt,Amsterdam,Centrum Oost,1,0.0,6,3,541,Spacious and bright with character,2017-07-23 11:36:50.385842,52.367687,4.906021
54,6849807,1476,34845570,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,13,4.5,6,4,599,Big family house next to Vondelpark/Museum Quarter,2017-07-23 11:36:50.381072,52.355028999999995,4.869549
55,307497,1476,1582128,Entire home/apt,Amsterdam,Westerpark,62,5.0,16,10,528,Sailing Ship Amsterdam Centre (1),2017-07-23 11:36:46.557440,52.393368,4.8830089999999995
56,14102973,1476,20575748,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,1,0.0,6,3,541,Lovely classic modern stylish appartement,2017-07-23 11:36:46.555473,52.356753000000005,4.899026999999999
57,3941357,1476,5659856,Entire home/apt,Amsterdam,Centrum West,21,5.0,4,3,541,Most amazing apartment - huge rooftop - canalview,2017-07-23 11:36:46.546849,52.373196,4.886924
58,1650475,1476,6942600,Entire home/apt,Amsterdam,Watergraafsmeer,0,0.0,4,3,600,Historical spacious familiy house,2017-07-23 11:36:46.539239,52.352421,4.935901
59,15851541,1476,68214211,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,23,5.0,12,0,648,"""Staying at a traditional sailing barge",2017-07-23 11:36:42.469892,52.354653000000006,5.006721
60,12031672,1476,53856038,Entire home/apt,Amsterdam,Buitenveldert / Zuidas,0,0.0,4,5,541,"Luxurious Urban Villa, 5+ bedrooms @Chique Zuid!",2017-07-23 11:36:39.321190,52.341404,4.872074
61,10448050,1476,8558897,Entire home/apt,Amsterdam,Centrum Oost,16,4.5,10,4,587,Home Sweet Home,2017-07-23 11:36:28.791958,52.360003000000006,4.893197
62,19447238,1476,255900,Entire home/apt,Amsterdam,Oud Noord,0,0.0,4,3,600,Architect-designed House in city center,2017-07-23 11:36:28.788846,52.383919,4.906942
63,18371381,1476,115318695,Entire home/apt,Amsterdam,De Baarsjes / Oud West,2,0.0,8,5,661,"Luxurious double 4 storey Vondelpark apartments,",2017-07-23 11:36:28.784871,52.360744,4.865113
64,17170300,1476,111617728,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,1,0.0,2,1,361,Super charmant en licht 3-kamerapp.+28m2 terras,2017-07-23 11:36:22.233453,52.352215,4.903658
65,6841884,1476,27257605,Entire home/apt,Amsterdam,De Baarsjes / Oud West,6,4.5,4,2,384,Newly Renovated Loft @ Vondelpark!,2017-07-23 11:35:49.177964,52.3576,4.855805999999999
66,7321352,1476,38352414,Entire home/apt,Amsterdam,Watergraafsmeer,18,4.0,7,3,361,Brandnew Penthouse on the Amstel,2017-07-23 11:25:21.888885,52.340383,4.918922
67,18233200,1476,116631993,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,7,4.5,14,3,420,Captainshouseboat nearby city centre.,2017-07-23 11:25:07.749687,52.352540000000005,5.006862
68,6652372,1476,48595947,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,0,0.0,6,3,331,Family house charming neighbourhood,2017-07-23 11:25:05.927722,52.345325,4.870657
69,5713368,1476,29621807,Entire home/apt,Amsterdam,Noord West,3,4.5,6,4,361,Industrial loft in Amsterdam North,2017-07-23 11:09:29.289279,52.41133,4.904646
70,2687966,1476,13760301,Entire home/apt,Amsterdam,De Baarsjes / Oud West,7,4.5,4,2,209,Spacious townhouse near Leidseplein,2017-07-23 11:06:20.790634,52.362932,4.876982
71,9269088,1476,12890254,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,2,0.0,2,1,239,"Peaceful, Spacious & Bright Near Museum",2017-07-23 10:59:37.608605,52.35331,4.8781870000000005
72,1021278,1476,1383927,Entire home/apt,Amsterdam,Watergraafsmeer,2,0.0,5,3,301,Sunny 3-bedroom family apartment,2017-07-23 10:44:25.321951,52.355068,4.938986
73,11269745,1476,58841005,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,1,0.0,4,4,216,Single villa on island in Amsterdam,2017-07-23 10:38:06.588803,52.359406,4.982554
74,10036864,1476,34133140,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,0,0.0,8,5,222,Amsterdam island Mansion + jacuzzi,2017-07-23 10:31:39.738096,52.354857,4.999130999999999
75,19966830,1476,83362806,Entire home/apt,Amsterdam,Osdorp,0,0.0,4,2,240,Modern house with two gardens and a carport,2017-07-23 10:27:59.764556,52.355875,4.80547
76,19991907,1476,15416294,Entire home/apt,Amsterdam,Noord Oost,0,0.0,6,4,252,Waterfront Villa 10 min from Central station,2017-07-23 10:07:15.795019,52.406053,4.933851
77,19360558,1476,135688360,Entire home/apt,Amsterdam,Noord Oost,0,0.0,5,4,240,Eengezinswoning,2017-07-23 10:07:15.792706,52.406822,4.932623
78,19803300,1476,119750485,Entire home/apt,Amsterdam,Centrum Oost,0,0.0,4,2,288,Modern design styled boat with 360 degrees vieuw,2017-07-23 10:06:59.804572,52.366318,4.897947
79,500516,1476,2469696,Entire home/apt,Amsterdam,Centrum Oost,17,5.0,2,1,186,Stay at the canal side!Centre A'dam,2017-07-23 10:00:18.909261,52.365515,4.885978
80,15285124,1476,1643483,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,3,2,203,Great appartment,2017-07-23 09:56:10.695380,52.344126,4.904813
81,7598022,1476,4380065,Entire home/apt,Amsterdam,Oud Oost,4,5.0,4,2,193,New & central 2BR-apartment incl private parking,2017-07-23 09:55:30.159672,52.355795,4.9144
82,6611809,1476,5224853,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,11,4.5,4,2,201,Modern family house on  city island,2017-07-23 09:48:50.120249,52.352971000000004,5.005403
83,12538536,1476,21116280,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,10,5.0,4,4,193,Spacious house Amsterdam + 2x FREE parking,2017-07-23 09:48:36.438819,52.354023,5.003133
