,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude
0,8795,27066,Entire home/apt,Croydon,Fairfield,0,,2,1,1,90,3,51.380145,-0.098818
1,9293,29896,Entire home/apt,Kensington and Chelsea,Chelsea Riverside,108,4.5,4,2,1,150,1,51.482968,-0.174777
2,9554,31655,Private room,Haringey,Harringay,84,5,2,1,,50,1,51.587767,-0.105666
3,11076,40471,Private room,Ealing,Ealing Broadway,0,,2,1,,105,2,51.515645,-0.314508
4,11551,43039,Entire home/apt,Lambeth,Ferndale,146,4.5,4,1,1,142,3,51.462254,-0.117324
5,13913,54730,Private room,Islington,Tollington,9,5,2,1,1,74,1,51.568017,-0.111208
6,15400,60302,Entire home/apt,Kensington and Chelsea,Stanley,56,4.5,2,1,1,147,3,51.487962,-0.168981
7,17506,67915,Private room,Hammersmith and Fulham,Town,0,,2,1,1,202,4,51.478644,-0.197861
8,18317,37014,Entire home/apt,Richmond upon Thames,Kew,11,4.5,5,2,1,143,3,51.473664,-0.287364
9,24328,41759,Entire home/apt,Wandsworth,Latchmere,80,5,,2,,224,2,51.472981,-0.163764
10,24903,54987,Entire home/apt,Tower Hamlets,Limehouse,6,3.5,5,2,2,198,,51.511907,-0.037598
11,25023,102813,Entire home/apt,Wandsworth,West Hill,0,,4,2,1,135,10,51.446872,-0.218744
12,25123,103583,Private room,Barnet,Childs Hill,85,4.5,2,1,,53,3,51.572243,-0.20906
13,26223,110865,Entire home/apt,Islington,St. Mary's,36,4.5,5,1,1,191,3,51.542362,-0.103796
14,26482,110865,Entire home/apt,Islington,St. Mary's,29,4.5,4,1,1,191,2,51.53915,-0.10137
15,26682,113354,Private room,Kensington and Chelsea,Redcliffe,3,4.5,1,1,1,112,1,51.485037,-0.185547
16,28010,119316,Private room,Tower Hamlets,Weavers,20,4.5,3,1,1,90,3,51.525102,-0.073727
17,28311,54987,Entire home/apt,Tower Hamlets,Canary Wharf,10,3.5,5,2,2,198,5,51.49974,-0.01867
18,28630,123319,Private room,Hackney,Haggerston,0,,,1,2,112,28,51.536581,-0.068512
19,28766,123872,Private room,Croydon,Kenley,0,,1,1,,68,3,51.327071,-0.100774
20,28989,124734,Entire home/apt,Camden,Cantelowes,0,,2,2,1,97,180,51.546387,-0.128497
21,29256,125781,Entire home/apt,Barnet,Coppetts,1,5,,4,,278,7,51.615092,-0.158291
22,31361,134606,Private room,Newham,Plaistow North,72,5,2,1,,51,1,51.534841,0.027071
23,34575,149266,Entire home/apt,Islington,Caledonian,14,5,2,1,1,120,6,51.540928,-0.1192
24,34825,150078,Private room,Camden,King's Cross,108,4.5,4,1,,68,1,51.525131,-0.117492
25,36299,155938,Entire home/apt,Richmond upon Thames,Kew,35,5,5,3,,292,3,51.479345,-0.280662
26,36551,157191,Private room,Southwark,Riverside,138,5,2,1,0,108,2,51.50261,-0.077331
27,36660,157884,Private room,Haringey,Fortis Green,316,5,2,1,,97,2,51.584612,-0.161696
28,37384,161459,Private room,Southwark,The Lane,44,5,2,1,1,105,3,51.468713,-0.064552
29,38151,163634,Private room,Croydon,Upper Norwood,0,,2,1,,98,1,51.419397,-0.087219
30,38407,164566,Entire home/apt,Tower Hamlets,Canary Wharf,82,4.5,3,1,,118,2,51.499945,-0.026243
31,38605,165579,Private room,Hammersmith and Fulham,Shepherd's Bush Green,183,4.5,2,1,1,93,2,51.506867,-0.233281
32,38610,165579,Entire home/apt,Hammersmith and Fulham,Shepherd's Bush Green,5,5,,5,2,421,7,51.508189,-0.232842
33,39387,168920,Private room,Westminster,Harrow Road,5,4.5,2,1,1,82,3,51.525888,-0.199425
34,39571,169878,Entire home/apt,Hackney,Victoria,35,4.5,,2,1,150,4,51.535258,-0.054584
35,40137,172289,Entire home/apt,Haringey,Muswell Hill,142,4.5,2,1,1,90,3,51.586822,-0.128324
36,40228,167107,Private room,Haringey,West Green,0,,2,1,1,43,1,51.5886,-0.088053
37,40738,166236,Entire home/apt,Hackney,Haggerston,44,4.5,4,1,1,181,1,51.52871,-0.076116
38,40925,168259,Private room,Waltham Forest,Cann Hall,40,4.5,2,1,1,48,1,51.556994,0.014056
39,41311,103583,Private room,Barnet,Golders Green,46,5,2,1,,53,3,51.573754,-0.208903
40,41509,181028,Private room,Hounslow,Turnham Green,38,4.5,4,1,,74,1,51.491567,-0.256
41,41712,182322,Private room,Southwark,Cathedrals,48,4.5,2,1,1,127,1,51.50205,-0.10015
42,41936,169878,Private room,Hackney,Victoria,42,4.5,2,1,1,60,7,51.535817,-0.05498
43,42001,183658,Private room,Hammersmith and Fulham,Avonmore and Brook Green,123,5,3,1,,90,2,51.494409,-0.204787
44,42010,157884,Private room,Barnet,East Finchley,343,5,2,1,0,75,2,51.586113,-0.162722
45,42692,186510,Private room,Hammersmith and Fulham,Shepherd's Bush Green,0,,1,1,,188,1,51.508032,-0.21599
46,42839,187107,Private room,Lewisham,Evelyn,0,,2,1,1,86,3,51.489856,-0.031195
47,42941,187481,Private room,Richmond upon Thames,"Ham, Petersham and Richmond Riverside",0,,2,1,1,128,2,51.437115,-0.32142
48,43129,188138,Shared room,Hammersmith and Fulham,Munster,73,4.5,2,1,1,60,2,51.481464,-0.209646
49,43202,188559,Entire home/apt,Brent,Queens Park,37,5,2,1,1,165,2,51.530445,-0.216873
50,43814,191604,Entire home/apt,Westminster,Marylebone High Street,57,4.5,4,2,2,447,14,51.516981,-0.150939
51,44117,193216,Private room,Southwark,Newington,47,4.5,2,1,1,83,1,51.491113,-0.100046
52,44138,193280,Private room,Hammersmith and Fulham,Sands End,1,5,1,1,,90,1,51.46879,-0.189874
53,44144,193280,Private room,Hammersmith and Fulham,Parsons Green and Walham,5,4.5,2,1,2,82,1,51.474078,-0.191441
54,44237,193280,Private room,Hammersmith and Fulham,Sands End,5,4.5,5,1,2,83,1,51.473641,-0.190806
55,45087,199126,Private room,Tower Hamlets,Weavers,150,5,2,1,,105,3,51.528708,-0.073236
56,45163,199530,Private room,Camden,Fortune Green,1,,1,1,1,60,2,51.55224,-0.199644
57,45168,199549,Entire home/apt,Westminster,Bayswater,70,5,4,1,1,165,1,51.517367,-0.195762
58,45380,50226,Entire home/apt,Haringey,Harringay,48,4.5,2,1,2,120,7,51.578591,-0.105442
59,46491,207977,Private room,Islington,Highbury West,0,,1,1,2,143,3,51.56172,-0.100538
60,46511,208052,Private room,Newham,Plaistow North,0,,2,1,2,120,2,51.536045,0.019398
61,46825,210050,Private room,Bromley,Penge and Cator,14,4,3,1,1,30,2,51.411814,-0.065834
62,46992,211291,Private room,Hackney,Homerton,107,5,1,1,1,48,4,51.550216,-0.050782
63,47179,479568,Entire home/apt,Wandsworth,Latchmere,2,4,2,1,1,165,4,51.46646,-0.17796
64,47192,212734,Private room,Camden,Regent's Park,207,4.5,1,1,1,58,2,51.529804,-0.142292
65,47249,209638,Private room,Hackney,Stoke Newington,15,5,2,1,1,60,3,51.562683,-0.080549
66,47369,214258,Private room,Westminster,Hyde Park,38,4.5,2,1,1,72,2,51.519429,-0.184538
67,47687,216660,Entire home/apt,Hammersmith and Fulham,Hammersmith Broadway,53,5,2,1,1,117,1,51.495062,-0.227499
68,49739,223425,Private room,Tower Hamlets,St. Peter's,6,4.5,3,1,1,98,1,51.53031,-0.061864
69,49970,216660,Entire home/apt,Hammersmith and Fulham,Hammersmith Broadway,41,4.5,2,1,1,110,1,51.495266,-0.229376
70,51012,234432,Entire home/apt,Westminster,Marylebone High Street,45,5,4,1,1,241,1,51.521876,-0.148462
71,51830,239020,Entire home/apt,Westminster,Bayswater,63,5,3,1,1,155,2,51.517324,-0.19313
72,52151,99183,Entire home/apt,Islington,Mildmay,8,4,2,1,1,120,4,51.549574,-0.088083
73,52940,157884,Private room,Barnet,Garden Suburb,245,5,2,1,,98,2,51.586335,-0.163916
74,53041,246399,Private room,Camden,West Hampstead,54,5,2,1,1,60,2,51.548109,-0.195629
75,53451,857701,Entire home/apt,Islington,St. Peter's,5,4.5,5,1,1,148,2,51.537128,-0.096624
76,54970,202973,Private room,Brent,Mapesbury,77,5,5,1,1,188,2,51.550826,-0.214145
77,55133,157884,Private room,Haringey,Fortis Green,211,5,3,1,0,97,2,51.584101,-0.161876
78,55574,857701,Entire home/apt,Westminster,Marylebone High Street,2,5,,3,2,298,1,51.515779,-0.151351
79,55706,211108,Entire home/apt,Westminster,Knightsbridge and Belgravia,32,5,,2,2,359,5,51.49588,-0.154404
80,56229,216660,Entire home/apt,Hammersmith and Fulham,Hammersmith Broadway,34,4.5,2,1,1,117,,51.493551,-0.228644
81,56299,77053,Private room,Islington,Tollington,112,5,2,1,,67,2,51.564216,-0.124133
82,56376,246399,Entire home/apt,Camden,West Hampstead,48,5,4,2,1,180,2,51.546886,-0.195862
83,56784,269609,Private room,Croydon,Bensham Manor,0,,2,1,2,53,1,51.399977,-0.10548
84,59656,196620,Private room,Westminster,Little Venice,147,5,2,1,1,112,1,51.522941,-0.184209
85,60221,181028,Private room,Hounslow,Turnham Green,4,5,2,1,,120,2,51.492014,-0.256128
86,60395,290867,Private room,Ealing,Northfield,110,5,2,1,,35,4,51.495402,-0.310816
87,60414,291001,Private room,Westminster,Hyde Park,371,5,2,1,1,83,1,51.516444,-0.172286
88,61156,295707,Entire home/apt,Haringey,Tottenham Green,173,4.5,3,2,1,75,2,51.587983,-0.078321
89,61158,295719,Entire home/apt,Camden,Gospel Oak,3,4.5,4,2,2,263,7,51.554271,-0.154044
90,61535,297981,Entire home/apt,Westminster,Hyde Park,167,5,2,1,1,202,2,51.514334,-0.162913
91,61692,299008,Shared room,Southwark,South Bermondsey,0,,2,1,,132,1,51.488807,-0.065494
92,62228,302737,Private room,Hammersmith and Fulham,Addison,9,5,1,1,1,112,1,51.498547,-0.218008
93,62259,302904,Entire home/apt,Hackney,Lea Bridge,78,4.5,,1,1,105,1,51.565086,-0.050261
94,62260,302904,Private room,Hackney,Lea Bridge,41,4.5,4,1,1,66,1,51.565312,-0.047701
95,62957,53348,Private room,Camden,Haverstock,158,4,2,1,1,45,1,51.549813,-0.151761
96,62970,133271,Entire home/apt,Tower Hamlets,Spitalfields & Banglatown,56,5,,3,3,376,3,51.522592,-0.069503
97,63051,307524,Entire home/apt,Hackney,Hoxton West,44,4.5,2,1,1,172,2,51.530104,-0.090083
98,63470,199626,Entire home/apt,Barnet,High Barnet,1,4,2,1,1,135,7,51.654283,-0.180932
99,63679,246449,Private room,Kensington and Chelsea,Abingdon,235,5,2,1,1,113,1,51.494907,-0.193094
100,63864,54987,Entire home/apt,Tower Hamlets,Canary Wharf,5,4,3,1,1,173,,51.499457,-0.019343
101,63948,216660,Private room,Hammersmith and Fulham,Hammersmith Broadway,3,5,2,1,,117,1,51.494022,-0.22724
102,64429,193586,Private room,Kensington and Chelsea,Golborne,110,4,2,1,1,75,1,51.520535,-0.209681
103,65638,320901,Entire home/apt,Southwark,Newington,132,4.5,2,1,1,128,5,51.486241,-0.09624
104,65908,322341,Private room,Lambeth,Brixton Hill,0,,2,1,1,120,2,51.459705,-0.120078
105,66772,216660,Private room,Hammersmith and Fulham,Hammersmith Broadway,12,4.5,2,1,,117,1,51.49404,-0.227378
106,67025,211108,Entire home/apt,Westminster,Knightsbridge and Belgravia,37,5,5,1,,240,2,51.495998,-0.154224
107,67851,235606,Entire home/apt,Hackney,London Fields,13,5,2,1,1,114,6,51.541169,-0.058666
108,67934,335716,Private room,Barnet,Burnt Oak,16,5,1,1,1,35,4,51.60202,-0.261386
109,68469,339654,Private room,Southwark,South Camberwell,6,4.5,2,1,,83,2,51.466715,-0.085102
110,68996,344090,Private room,Tower Hamlets,Spitalfields & Banglatown,1,5,1,1,1,74,2,51.517284,-0.076691
111,69198,345886,Private room,Haringey,West Green,5,4.5,1,1,1,75,1,51.590159,-0.094272
112,69212,345967,Entire home/apt,Croydon,West Thornton,0,,,4,2,82,1,51.388415,-0.106494
113,71614,11334,Entire home/apt,Islington,Mildmay,35,5,2,1,1,150,2,51.552966,-0.088766
114,71875,67564,Entire home/apt,Camden,Bloomsbury,18,5,3,1,1,222,3,51.522788,-0.139186
115,71888,168259,Private room,Newham,Forest Gate North,19,4.5,1,1,1,38,1,51.553322,0.009776
116,71983,17577,Entire home/apt,Wandsworth,Queenstown,12,5,2,1,1,133,2,51.474354,-0.154399
117,72059,371121,Private room,Haringey,Alexandra,11,5,4,1,,120,2,51.594777,-0.141416
118,72673,144444,Private room,Richmond upon Thames,St. Margarets and North Twickenham,0,,1,1,1,68,1,51.465149,-0.322928
119,72802,157191,Entire home/apt,Southwark,Riverside,70,4.5,,2,1,289,4,51.501497,-0.075887
120,72913,379315,Private room,Lambeth,Oval,95,5,2,1,1,68,2,51.480644,-0.114387
121,73431,383525,Private room,Lambeth,Coldharbour,38,5,2,1,1,78,8,51.461929,-0.110853
122,73439,169150,Entire home/apt,Westminster,West End,183,4,3,1,1,120,1,51.513948,-0.130473
123,73884,216660,Entire home/apt,Hammersmith and Fulham,Hammersmith Broadway,54,4.5,2,1,1,117,,51.493845,-0.227892
124,74063,388393,Entire home/apt,Haringey,Stroud Green,1,5,2,1,1,135,1,51.577114,-0.111704
125,74107,388850,Entire home/apt,Brent,Queens Park,46,4.5,3,1,1,112,1,51.541444,-0.207843
126,74732,345130,Entire home/apt,Kensington and Chelsea,Campden,24,4.5,2,1,1,195,2,51.502372,-0.187701
127,75120,183658,Entire home/apt,Hammersmith and Fulham,Avonmore and Brook Green,47,5,,4,,526,3,51.49389,-0.204175
128,75995,404548,Entire home/apt,Tower Hamlets,Weavers,54,4.5,4,1,1,135,2,51.530245,-0.073615
129,76623,110865,Entire home/apt,Islington,St. Mary's,23,4.5,5,1,1,191,3,51.542502,-0.102108
130,76932,196620,Entire home/apt,Westminster,Little Venice,14,5,3,2,1,301,3,51.524877,-0.184631
131,77889,8140791,Entire home/apt,Islington,St. George's,5,5,,2,1,150,2,51.553309,-0.127331
132,78415,421104,Private room,Croydon,Upper Norwood,17,5,1,1,,33,3,51.409979,-0.113271
133,78523,421909,Private room,Westminster,Lancaster Gate,42,4.5,2,1,,75,5,51.513742,-0.179367
134,78892,424230,Private room,Southwark,South Camberwell,8,5,1,1,1,45,1,51.464523,-0.079701
135,79075,421104,Private room,Croydon,Upper Norwood,13,4.5,2,1,,34,3,51.410735,-0.113298
136,79111,425778,Entire home/apt,Hackney,Hoxton East & Shoreditch,187,4.5,2,1,1,149,1,51.533248,-0.080525
137,79129,425764,Private room,Merton,Cannon Hill,57,5,2,1,1,63,1,51.397107,-0.213417
138,79216,426378,Private room,Lewisham,Catford South,0,,2,1,1,75,3,51.438277,-0.019752
139,79234,426483,Private room,Southwark,The Lane,8,4.5,2,1,1,60,3,51.464706,-0.069641
140,79452,427853,Entire home/apt,Islington,St. Peter's,2,5,4,2,1,165,3,51.53557,-0.099271
141,79455,427855,Entire home/apt,Greenwich,Peninsula,11,4.5,2,1,0,120,3,51.485363,0.007818
142,79488,428080,Entire home/apt,Westminster,Bryanston and Dorset Square,0,,4,1,2,225,3,51.518699,-0.167261
143,79704,429606,Private room,Southwark,Surrey Docks,6,5,2,1,1,84,3,51.498291,-0.034185
144,80123,432648,Entire home/apt,Wandsworth,Balham,70,5,2,1,1,127,2,51.453305,-0.156464
145,80433,427750,Private room,Lambeth,Thurlow Park,0,,1,1,,60,1,51.436659,-0.09076
146,80454,427750,Private room,Lambeth,Gipsy Hill,0,,1,1,,60,1,51.435672,-0.090997
147,81008,426167,Entire home/apt,Greenwich,Peninsula,51,4.5,,4,,398,1,51.487176,0.025899
148,81015,269609,Private room,Croydon,Bensham Manor,0,,2,1,2,52,1,51.400921,-0.104518
149,81211,439880,Entire home/apt,Camden,Belsize,3,4.5,4,1,,188,14,51.548384,-0.163436
150,81239,423650,Entire home/apt,Hackney,London Fields,40,4.5,,3,,225,3,51.535845,-0.061781
151,81305,440729,Entire home/apt,Camden,Bloomsbury,25,4.5,4,2,1,376,3,51.523577,-0.141676
152,81399,441457,Private room,Lambeth,Stockwell,0,,1,1,,105,1,51.479481,-0.12148
153,81410,441494,Entire home/apt,Westminster,Marylebone High Street,91,5,,2,2,451,1,51.521234,-0.140329
154,81449,441736,Entire home/apt,Tower Hamlets,Whitechapel,125,4.5,3,1,1,140,3,51.511627,-0.066802
155,81473,441881,Private room,Bromley,Crystal Palace,40,5,2,1,,60,2,51.416429,-0.076728
156,81487,442004,Entire home/apt,Camden,Gospel Oak,6,4.5,4,2,1,195,5,51.550445,-0.160862
157,81594,442801,Entire home/apt,Wandsworth,Southfields,21,5,4,1,1,135,2,51.446463,-0.200504
158,81607,442885,Entire home/apt,Hammersmith and Fulham,Palace Riverside,15,4.5,,4,,301,5,51.479271,-0.221741
159,81635,443041,Private room,Islington,Clerkenwell,16,5,2,1,,148,2,51.528416,-0.111405
160,81936,445223,Private room,Southwark,Livesey,8,5,2,1,1,73,2,51.47547,-0.06065
161,82272,447486,Private room,Southwark,Newington,103,5,2,1,1,72,1,51.490887,-0.098788
162,82331,447715,Shared room,Greenwich,Abbey Wood,6,4,2,1,,39,1,51.498072,0.116799
163,82399,448365,Private room,Lewisham,Evelyn,80,4.5,,1,,75,1,51.486324,-0.040908
164,82527,426167,Private room,Greenwich,Peninsula,18,5,2,1,,105,1,51.486491,0.025522
165,83017,452088,Entire home/apt,Westminster,Bryanston and Dorset Square,250,5,4,2,1,150,3,51.522083,-0.163972
166,83181,404447,Entire home/apt,Westminster,West End,107,3.5,5,2,1,180,1,51.512861,-0.131483
167,83304,454043,Entire home/apt,Islington,Junction,5,5,3,2,1,90,5,51.559342,-0.131468
168,83308,454121,Entire home/apt,Camden,Kilburn,20,4.5,4,1,1,195,3,51.5385,-0.192547
169,83447,454729,Entire home/apt,Westminster,West End,119,4.5,2,1,1,154,3,51.512543,-0.13259
170,83462,454672,Private room,Tower Hamlets,Poplar,25,5,2,1,,90,2,51.507878,-0.009071
171,84193,404447,Entire home/apt,Westminster,St. James's,112,4,4,1,1,195,1,51.50991,-0.13133
172,84201,460186,Private room,Newham,Beckton,0,,2,1,1,200,1,51.516165,0.050467
173,84223,460272,Private room,Lambeth,Prince's,144,4.5,2,1,,82,1,51.48639,-0.107944
174,84532,462165,Private room,Hackney,Springfield,16,5,2,1,,54,2,51.572949,-0.060753
175,84543,422907,Private room,Tower Hamlets,St. Dunstan's,70,5,2,1,1,103,2,51.518695,-0.037561
176,84575,462370,Entire home/apt,Hammersmith and Fulham,Hammersmith Broadway,0,,5,1,1,310,1,51.50001,-0.23028
177,84640,462651,Private room,Haringey,Hornsey,0,,1,1,1,75,1,51.589369,-0.122738
178,84854,464204,Private room,Richmond upon Thames,St. Margarets and North Twickenham,1,5,2,1,1,150,1,51.450564,-0.339397
179,85159,466142,Entire home/apt,Tower Hamlets,St. Peter's,1,,4,2,1,744,2,51.526307,-0.05812
180,85191,466353,Private room,Lambeth,Prince's,215,5,1,1,,90,1,51.48968,-0.116369
181,85253,465779,Entire home/apt,Tower Hamlets,St. Peter's,223,5,4,1,1,144,2,51.525573,-0.058949
182,85387,467757,Entire home/apt,Camden,Bloomsbury,1,5,,2,1,299,3,51.521232,-0.139544
183,85406,467835,Private room,Westminster,Bayswater,9,5,2,1,1,68,2,51.516884,-0.185129
184,86084,472532,Private room,Wandsworth,East Putney,32,4.5,2,1,1,90,1,51.460255,-0.214828
185,86092,472474,Entire home/apt,Hammersmith and Fulham,Fulham Broadway,41,4.5,5,2,1,210,3,51.485738,-0.199385
186,86306,281803,Entire home/apt,Kensington and Chelsea,Royal Hospital,19,4,2,1,1,150,2,51.486431,-0.15091
187,87514,352607,Entire home/apt,Camden,King's Cross,117,4.5,2,1,1,147,3,51.525282,-0.115214
188,87579,479568,Entire home/apt,Wandsworth,Shaftesbury,3,4,2,1,1,172,3,51.466786,-0.164415
189,87827,479209,Private room,Westminster,Lancaster Gate,0,,1,1,1,209,30,51.511063,-0.189216
190,87863,480782,Private room,Waltham Forest,Leytonstone,67,5,2,1,1,47,2,51.571253,0.010557
191,88032,481587,Private room,Wandsworth,Southfields,16,5,2,1,1,105,2,51.445929,-0.206083
192,88518,483772,Entire home/apt,Greenwich,Blackheath Westcombe,14,4.5,3,2,1,90,3,51.478348,0.021623
193,88571,483940,Private room,Hammersmith and Fulham,Fulham Reach,35,4.5,1,1,1,52,1,51.484497,-0.217211
194,88656,484226,Private room,Westminster,Knightsbridge and Belgravia,8,4,3,1,1,150,2,51.499112,-0.148804
195,89114,485861,Entire home/apt,Westminster,Maida Vale,15,4,,3,2,240,3,51.527914,-0.184168
196,89183,485861,Entire home/apt,Westminster,Lancaster Gate,66,4,,2,1,150,2,51.512776,-0.184548
197,89208,485861,Entire home/apt,Camden,Cantelowes,72,4,,2,1,148,2,51.544077,-0.126599
198,89432,486973,Private room,Westminster,Vincent Square,123,5,1,1,1,90,2,51.491453,-0.13052
199,89459,487026,Entire home/apt,Westminster,Warwick,50,4.5,,2,,269,5,51.491615,-0.14397
200,89700,487966,Private room,Islington,Caledonian,72,5,1,1,,72,1,51.535645,-0.120457
201,89816,488602,Entire home/apt,Westminster,St. James's,3,4.5,5,1,1,226,5,51.507761,-0.123345
202,89870,54730,Entire home/apt,Islington,Tollington,35,4.5,4,1,1,147,1,51.568219,-0.112657
203,89991,33237,Entire home/apt,Lambeth,Larkhall,50,5,3,1,1,105,2,51.468085,-0.1248
204,90522,490714,Private room,Croydon,Norbury,8,5,1,1,,63,2,51.412972,-0.113667
205,90663,488602,Entire home/apt,Westminster,St. James's,3,4.5,5,1,1,224,5,51.5078,-0.122597
206,90681,491199,Private room,Lewisham,Forest Hill,27,4.5,3,1,1,83,2,51.447624,-0.057157
207,90700,491286,Entire home/apt,Kensington and Chelsea,Pembridge,184,4.5,2,1,1,165,2,51.510741,-0.198534
208,90751,491421,Entire home/apt,Greenwich,Shooters Hill,0,,3,1,1,301,1,51.468994,0.054717
209,90965,492229,Entire home/apt,Southwark,South Bermondsey,28,4.5,,2,1,194,2,51.490916,-0.073186
210,91031,491004,Entire home/apt,Wandsworth,Queenstown,9,4,2,1,1,90,4,51.481785,-0.147701
211,91287,493497,Entire home/apt,Islington,Caledonian,39,4.5,,1,1,238,2,51.540548,-0.116815
212,91305,493555,Private room,Kensington and Chelsea,Golborne,16,5,2,1,1,120,2,51.520295,-0.208453
213,91872,485439,Entire home/apt,Camden,Camden Town with Primrose Hill,22,4.5,4,1,1,168,7,51.542194,-0.156592
214,92261,496799,Private room,Kensington and Chelsea,Earl's Court,1,5,2,1,2,128,2,51.491405,-0.196987
215,92399,497366,Entire home/apt,Islington,Mildmay,138,5,2,1,1,109,3,51.550707,-0.085467
216,92644,498201,Private room,Wandsworth,Earlsfield,103,4.5,2,1,,63,1,51.440041,-0.187548
217,92731,498513,Private room,Southwark,Cathedrals,76,5,2,1,1,113,2,51.500804,-0.099029
218,92973,499555,Entire home/apt,Lambeth,Brixton Hill,8,4.5,4,1,1,135,1,51.45869,-0.123985
219,93015,499704,Entire home/apt,Hammersmith and Fulham,Addison,2,5,5,2,,271,3,51.501781,-0.216268
220,93074,193216,Private room,Southwark,Newington,95,4.5,2,1,1,78,1,51.489301,-0.100352
221,93209,500365,Private room,Tower Hamlets,Bethnal Green,6,5,2,1,1,68,1,51.5274,-0.043881
222,93306,500699,Entire home/apt,Enfield,Cockfosters,9,5,5,3,2,225,3,51.658003,-0.137636
223,93347,500722,Entire home/apt,Islington,Holloway,1,4.5,2,1,1,120,7,51.547423,-0.122406
224,93390,501053,Entire home/apt,Kensington and Chelsea,Redcliffe,50,4.5,,3,1,269,4,51.489581,-0.189445
225,93457,226756,Private room,Camden,St. Pancras and Somers Town,123,5,2,1,1,105,2,51.539014,-0.13596
226,93500,501399,Private room,Lambeth,Larkhall,30,5,2,1,1,74,1,51.464408,-0.126686
227,93734,497514,Private room,Greenwich,Blackheath Westcombe,121,4.5,2,1,0,53,2,51.476354,0.012795
228,93735,502335,Entire home/apt,Lambeth,Prince's,0,,,3,,673,4,51.491728,-0.110116
229,93779,502491,Entire home/apt,Tower Hamlets,St. Peter's,14,4.5,4,2,2,301,2,51.526869,-0.063474
230,93783,502496,Entire home/apt,Westminster,Bayswater,10,4.5,,2,2,752,5,51.518262,-0.194993
231,94144,503548,Private room,Tower Hamlets,Bethnal Green,0,,1,1,1,120,1,51.528252,-0.052066
232,94165,503636,Private room,Westminster,Vincent Square,10,4.5,1,1,1,97,4,51.492185,-0.132873
233,94426,46014,Entire home/apt,Haringey,Tottenham Green,164,4.5,4,1,1,99,1,51.587124,-0.081083
234,95059,506748,Private room,Tower Hamlets,Bethnal Green,8,4.5,1,1,1,83,1,51.529041,-0.051736
235,96008,510424,Private room,Lambeth,Thurlow Park,0,,2,1,,120,2,51.43982,-0.097788
236,96052,448154,Private room,Brent,Mapesbury,48,4.5,3,1,1,43,3,51.557863,-0.226299
237,96510,512168,Private room,Tower Hamlets,Lansbury,55,4.5,3,1,2,53,1,51.517522,-0.016515
238,96640,512757,Private room,Hackney,Woodberry Down,0,,1,1,,150,1,51.57204,-0.083394
239,97124,514554,Private room,Kensington and Chelsea,Redcliffe,7,5,2,1,1,102,1,51.491491,-0.185083
240,97178,510439,Private room,Hammersmith and Fulham,College Park and Old Oak,128,5,2,1,2,67,2,51.520994,-0.228518
241,97209,514766,Private room,Hackney,King's Park,0,,2,1,1,120,1,51.554573,-0.036427
242,97506,497537,Private room,Lambeth,Streatham Wells,26,5,2,1,1,53,2,51.428746,-0.120558
243,97583,516216,Private room,Haringey,Bounds Green,31,4.5,1,1,1,52,3,51.607958,-0.125509
244,97778,517182,Private room,Greenwich,Peninsula,1,,2,1,1,105,1,51.495804,0.01322
245,97974,517799,Private room,Wandsworth,West Putney,65,4.5,2,1,2,48,1,51.464344,-0.237281
246,98155,518454,Entire home/apt,Lewisham,Brockley,0,,2,1,,301,1,51.473253,-0.021258
247,98541,519891,Entire home/apt,Haringey,Highgate,19,4.5,4,1,1,126,5,51.574195,-0.139578
248,98750,520642,Entire home/apt,Hammersmith and Fulham,Parsons Green and Walham,44,4.5,2,1,1,188,1,51.478451,-0.193279
249,98776,134606,Private room,Newham,Plaistow North,70,5,1,1,,41,1,51.534543,0.027065
250,99251,110865,Entire home/apt,Islington,St. Mary's,24,4,4,1,1,190,3,51.541259,-0.102285
251,99723,524986,Entire home/apt,Kensington and Chelsea,St. Helen's,55,5,5,3,2,278,2,51.519212,-0.214405
252,99742,525075,Private room,Hammersmith and Fulham,Hammersmith Broadway,0,,2,1,1,225,1,51.499055,-0.228028
253,100326,527471,Private room,Hackney,Springfield,67,5,1,1,0,44,2,51.564852,-0.056116
254,100479,506748,Private room,Tower Hamlets,St. Peter's,4,5,2,1,1,83,1,51.527155,-0.055944
255,100995,529838,Entire home/apt,Westminster,Bryanston and Dorset Square,20,4.5,4,2,,337,2,51.517758,-0.160482
256,101083,530117,Entire home/apt,Lambeth,Stockwell,55,4.5,2,1,1,135,2,51.478283,-0.129443
257,101841,52542,Entire home/apt,Croydon,Addiscombe,3,5,3,1,1,83,3,51.378448,-0.079736
258,101886,533409,Private room,Kingston upon Thames,Coombe Hill,1,5,2,1,1,97,1,51.414505,-0.279545
259,101923,522863,Private room,Haringey,Seven Sisters,3,4.5,2,1,1,45,3,51.575674,-0.087206
260,102565,536025,Private room,Lambeth,Bishop's,217,5,2,1,1,135,3,51.50602,-0.108401
261,103040,82192,Entire home/apt,Islington,St. Peter's,12,5,4,2,1,129,7,51.53984,-0.095916
262,103061,537701,Private room,Hammersmith and Fulham,Fulham Broadway,48,4.5,2,1,1,89,1,51.483469,-0.200964
263,103070,537749,Private room,Wandsworth,Balham,28,5,2,1,1,75,2,51.442661,-0.145941
